City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Katsuura,JP,2022-01-06 00:02:49,35.1333,140.3,39.18,58,100,9.08
1,Mandalgovi,MN,2022-01-06 00:02:50,45.7625,106.2708,10.98,47,0,7.56
2,Pevek,RU,2022-01-06 00:02:50,69.7008,170.3133,-3.6,99,73,2.28
3,Hermanus,ZA,2022-01-06 00:02:50,-34.4187,19.2345,64.8,77,66,13.22
4,Haines Junction,CA,2022-01-06 00:02:51,60.7522,-137.5108,-33.29,100,83,1.01
5,Hobart,AU,2022-01-06 00:02:31,-42.8794,147.3294,63.27,70,100,7.09
6,Ponta Do Sol,PT,2022-01-06 00:02:51,32.6667,-17.1,62.01,64,6,7.02
7,Quelimane,MZ,2022-01-06 00:02:51,-17.8786,36.8883,75.97,94,100,3.76
8,Yellowknife,CA,2022-01-06 00:00:07,62.456,-114.3525,-29.58,79,47,4.0
9,Tasiilaq,GL,2022-01-06 00:02:52,65.6145,-37.6368,32.16,93,100,20.29
10,New Norfolk,AU,2022-01-06 00:02:52,-42.7826,147.0587,62.92,65,100,1.01
11,Namatanai,PG,2022-01-06 00:02:52,-3.6667,152.4333,84.49,70,96,6.53
12,Puerto Ayora,EC,2022-01-06 00:02:53,-0.7393,-90.3518,72.09,81,75,8.39
13,Qaanaaq,GL,2022-01-06 00:02:53,77.484,-69.3632,-2.2,54,0,7.47
14,Shelburne,CA,2022-01-06 00:02:53,44.0787,-80.2041,28.26,91,100,20.58
15,Havre-Saint-Pierre,CA,2022-01-06 00:02:54,50.2334,-63.5986,7.16,85,90,21.85
16,Atuona,PF,2022-01-06 00:02:54,-9.8,-139.0333,78.69,71,78,15.12
17,Saint-Augustin,CA,2022-01-06 00:02:54,51.226,-58.6502,9.18,79,100,5.88
18,Talnakh,RU,2022-01-06 00:02:55,69.4865,88.3972,-5.8,86,100,20.56
19,Torbay,CA,2022-01-06 00:02:55,47.6666,-52.7314,33.28,85,98,3.0
20,Hilo,US,2022-01-06 00:02:55,19.7297,-155.09,80.8,82,0,4.0
21,Wanning,CN,2022-01-06 00:02:56,18.8003,110.3967,69.85,83,53,5.97
22,Thompson,CA,2022-01-06 00:02:56,55.7435,-97.8558,-14.64,76,90,5.75
23,Tezu,IN,2022-01-06 00:02:56,27.9167,96.1667,56.79,45,87,4.03
24,Abaza,RU,2022-01-06 00:02:57,52.655,90.0928,23.83,96,100,2.66
25,Bambous Virieux,MU,2022-01-06 00:02:57,-20.3428,57.7575,75.22,77,87,5.84
26,Dikson,RU,2022-01-06 00:02:57,73.5069,80.5464,-9.67,94,100,10.67
27,Marovoay,MG,2022-01-06 00:02:58,-16.1,46.6333,75.34,93,100,4.16
28,Mataura,NZ,2022-01-06 00:02:58,-46.1927,168.8643,55.47,55,88,7.56
29,Kalavad,IN,2022-01-06 00:02:58,22.2167,70.3833,68.95,81,100,10.29
30,Eyl,SO,2022-01-06 00:02:59,7.9803,49.8164,74.35,78,48,13.06
31,Luwuk,ID,2022-01-06 00:02:59,-0.9516,122.7875,83.62,67,43,0.85
32,Kapaa,US,2022-01-06 00:02:59,22.0752,-159.319,79.12,73,7,4.0
33,Lake Charles,US,2022-01-05 23:59:52,30.2131,-93.2044,66.42,81,1,1.01
34,Albany,US,2022-01-06 00:01:30,42.6001,-73.9662,40.8,86,100,4.83
