City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
349,Santa Maria,BR,70.9,clear sky,-29.6842,-53.8069,Hotel Morotin
350,Vanimo,PG,83.75,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
352,Kavaratti,IN,80.06,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
354,Venice,US,73.98,overcast clouds,27.0998,-82.4543,A Beach Retreat On Casey Key
356,Daru,PG,87.75,overcast clouds,-9.0763,143.2092,Daru Lodge
357,Coolum Beach,AU,83.34,broken clouds,-26.5333,153.1,Palmer Coolum Resort
360,Airai,TL,71.74,scattered clouds,-8.9266,125.4092,
368,Pimenta Bueno,BR,71.96,light rain,-11.6725,-61.1936,Cristalina Palace Hotel
369,Kyaikto,MM,78.22,clear sky,17.3,97.0167,နီလာ တည်းခိုခန်း
370,Atambua,ID,82.42,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
373,Gladstone,AU,88.79,broken clouds,-23.85,151.25,Highpoint International Hotel
374,Seybaplaya,MX,75.16,overcast clouds,19.65,-90.6667,sala de fiesta san Rafael
375,Sabang,ID,80.73,light rain,5.8933,95.3214,Hotel Citra
376,Tame,CO,78.28,overcast clouds,6.461,-71.73,Hospedaje Santa Ana
378,Kaeo,NZ,77.32,overcast clouds,-35.1,173.7833,Bushido Lodge
379,Araquari,BR,71.11,light rain,-26.3703,-48.7211,Zanella Jasper
380,Masaya,NI,76.66,clear sky,11.9744,-86.0942,Hostal Casa San Miguel
388,Tezu,IN,71.56,broken clouds,27.9167,96.1667,Circuit House
392,Beira,MZ,75.16,light rain,-19.8436,34.8389,Beira Terrace Hotel
393,Mahibadhoo,MV,81.16,broken clouds,3.7833,72.9667,Omadhoo Inn
394,Temerloh,MY,81.54,overcast clouds,3.4483,102.4176,U Design Hotel Temerloh
395,Mampong,GH,70.16,broken clouds,7.0627,-1.4001,Adom Upscale Hotel
400,Bambanglipuro,ID,84.4,overcast clouds,-7.95,110.2833,Puri Brata
401,Port Macquarie,AU,84.16,clear sky,-31.4333,152.9167,Rydges Port Macquarie
410,Harper,LR,78.31,light rain,4.375,-7.7169,Screensaver
416,Knysna,ZA,70.18,overcast clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
421,Guaruja,BR,75.16,light rain,-23.9931,-46.2564,Charme Hotel Guarujá
425,Comodoro Rivadavia,AR,75.06,clear sky,-45.8667,-67.5,Austral Hotel
428,Waipawa,NZ,70.43,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
436,Morros,BR,70.12,moderate rain,-9.4467,-46.3003,
443,Tambopata,PE,73.0,overcast clouds,-12.7333,-69.1833,
444,Bairiki,KI,81.73,overcast clouds,1.3292,172.9752,Tarawa Boutique Hotel
447,Quatre Cocos,MU,75.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
449,Mersing,MY,81.63,overcast clouds,2.4312,103.8405,Timotel Hotel
450,Mogadishu,SO,76.69,broken clouds,2.0371,45.3438,Hotel Juba
451,Whitianga,NZ,79.11,overcast clouds,-36.8333,175.7,Beachside Resort Whitianga
452,Flinders,AU,83.17,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
455,Lazaro Cardenas,MX,75.6,clear sky,17.9583,-102.2,quinta antigua
456,Kikwit,CD,70.5,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
459,Fare,PF,81.21,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
464,Makokou,GA,71.47,overcast clouds,0.5738,12.8642,Motel des voyageurs
465,Reconquista,AR,79.02,clear sky,-29.15,-59.65,Grand Hotel
471,Acajutla,SV,79.81,clear sky,13.5928,-89.8275,asi es
472,Humaita,BR,70.97,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
476,Kon Tum,VN,78.46,few clouds,14.35,108.0,Hoa đà spa- homestay
479,Porto Novo,BJ,77.47,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
481,Belmonte,BR,77.36,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
482,San Matias,BO,76.93,broken clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
484,Papar,MY,86.0,scattered clouds,5.7333,115.9333,Koposizon Homestay
488,Estelle,US,71.01,overcast clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
491,Lisala,CD,75.69,broken clouds,2.15,21.5167,Flat hôtel tozelaka
494,Bani,DO,72.75,overcast clouds,18.2833,-70.3333,Hospedaje Henriquez
496,Tumaco,CO,75.34,light rain,1.7986,-78.8156,Dafneruben
497,San Juan,AR,89.94,overcast clouds,-31.5375,-68.5364,Hotel Provincial
503,Lekoni,GA,74.3,broken clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
504,Huarmey,PE,71.11,clear sky,-10.0681,-78.1522,Hotel Miramar
505,Nabire,ID,84.33,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
509,Coari,BR,70.61,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
515,Laplace,US,70.99,broken clouds,30.0666,-90.4801,Hampton Inn Laplace
518,Inhambane,MZ,73.76,few clouds,-23.865,35.3833,Oceano
521,Champerico,GT,78.04,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
522,Amahai,ID,87.1,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
525,Singleton,AU,87.78,scattered clouds,-32.5667,151.1833,Quest Singleton
528,Manadhoo,MV,80.91,overcast clouds,5.7667,73.3833,Bon Abri maldives
529,Burnie,AU,70.92,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
544,Itaituba,BR,71.71,overcast clouds,-4.2761,-55.9836,Hotel Campos
550,Placido De Castro,BR,72.5,scattered clouds,-10.3353,-67.1856,Hotel Carioca
556,Mana,GF,74.48,overcast clouds,5.6592,-53.7767,LE SAMANA
563,Pathein,MM,80.44,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
564,Teknaf,BD,71.56,clear sky,20.8624,92.3058,Forestry Guesthouse
565,Benoy,TD,70.02,broken clouds,8.9833,16.3199,
567,Tres Arroyos,AR,77.86,clear sky,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
569,Nelson Bay,AU,88.29,clear sky,-32.7167,152.15,Mantra Nelson Bay
571,Young,UY,78.22,few clouds,-32.6833,-57.6333,Posada Gira el Sol
575,Ballina,AU,86.18,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
576,Ambon,ID,87.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
577,Sao Felix Do Xingu,BR,70.48,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
585,Eyl,SO,72.23,scattered clouds,7.9803,49.8164,Amiin Hotel
586,Amuntai,ID,88.75,broken clouds,-2.4177,115.2494,Hotel Balqis
588,Cravo Norte,CO,76.89,scattered clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
589,Port Hedland,AU,89.65,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
593,Saiha,IN,70.79,clear sky,22.4833,92.9667,"Circuit House, Siaha"
596,Martapura,ID,82.49,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
