City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
79,Lebu,CL,-37.6167,-73.65,55.72,93,37,9.89,scattered clouds
80,Phayakkhaphum Phisai,TH,15.5163,103.1937,92.41,30,100,13.42,overcast clouds
81,Port Elizabeth,ZA,-33.918,25.5701,56.1,96,0,5.75,clear sky
82,Yellowknife,CA,62.456,-114.3525,37.92,44,100,10.36,overcast clouds
83,Lazaro Cardenas,MX,17.9583,-102.2,72.45,84,93,0.4,overcast clouds
84,Salalah,OM,17.0151,54.0924,82.49,69,0,2.3,clear sky
85,Henties Bay,NA,-22.116,14.2845,59.34,87,0,4.61,clear sky
86,Castro,BR,-24.7911,-50.0119,60.94,98,100,3.76,moderate rain
87,Sembe,CG,1.6481,14.5806,70.0,98,56,2.24,light rain
88,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,100,20,4.61,few clouds
89,Bluff,NZ,-46.6,168.3333,55.65,60,67,25.46,broken clouds
90,Williams Lake,CA,52.1415,-122.1445,51.37,40,100,14.97,overcast clouds
91,Ahome,MX,25.9167,-109.1833,69.58,65,0,2.24,clear sky
92,Jamestown,US,42.097,-79.2353,40.59,77,100,4.61,light rain
93,Babylon,US,40.6957,-73.3257,55.98,83,100,17.27,mist
94,San Patricio,US,28.017,-97.5169,66.85,34,2,7.34,clear sky
95,Jinchang,CN,38.4953,102.1739,69.62,9,36,14.65,scattered clouds
96,Harper,LR,4.375,-7.7169,78.55,84,99,1.63,overcast clouds
97,Cidreira,BR,-30.1811,-50.2056,69.3,89,100,7.49,overcast clouds
98,Kahului,US,20.8947,-156.47,75.22,69,20,25.32,few clouds
99,Komsomolskiy,UZ,40.4272,71.7189,75.92,29,92,2.3,overcast clouds
100,Ribeira Grande,PT,38.5167,-28.7,60.8,87,69,14.85,broken clouds
101,Tura,IN,25.5198,90.2201,87.96,44,0,4.54,clear sky
102,Yumen,CN,40.2833,97.2,72.84,8,2,25.88,clear sky
103,Longyearbyen,SJ,78.2186,15.6401,6.64,72,20,16.11,few clouds
104,Lata,PT,40.1629,-8.3327,53.92,96,98,5.03,overcast clouds
105,Kodiak,US,57.79,-152.4072,33.31,64,100,12.66,overcast clouds
106,Iralaya,HN,15.0,-83.2333,79.57,75,100,9.82,overcast clouds
107,Ponta Do Sol,PT,32.6667,-17.1,59.72,77,6,0.98,clear sky
108,Broome,US,42.2506,-75.833,44.46,82,100,6.91,mist
109,Ilinskiy,RU,55.619,38.1182,48.58,71,0,7.0,clear sky
110,Nanortalik,GL,60.1432,-45.2371,26.08,92,76,11.59,broken clouds
111,Yulara,AU,-25.2406,130.9889,84.04,17,0,5.75,clear sky
112,Tasiilaq,GL,65.6145,-37.6368,19.56,95,100,8.95,light snow
113,Umirim,BR,-3.6772,-39.3503,73.22,97,100,0.54,overcast clouds
114,Pirgos,GR,35.1167,25.7178,61.63,60,2,5.39,clear sky
115,Rio Gallegos,AR,-51.6226,-69.2181,30.25,93,100,3.44,mist
116,Cockburn Town,TC,21.4612,-71.1419,78.13,79,15,21.18,few clouds
117,Zapolyarnyy,RU,69.4154,30.8136,20.48,96,97,4.0,overcast clouds
118,Faanui,PF,-16.4833,-151.75,82.51,73,17,17.69,few clouds
119,Bac Lieu,VN,9.285,105.7244,86.07,61,68,5.75,broken clouds
120,Hambantota,LK,6.1241,81.1185,88.14,79,40,5.75,scattered clouds
121,Qaanaaq,GL,77.484,-69.3632,-7.56,67,7,7.85,clear sky
122,Pui,RO,45.5167,23.1,48.22,90,90,0.85,overcast clouds
123,Antofagasta,CL,-23.65,-70.4,61.88,81,27,2.68,scattered clouds
124,Kudahuvadhoo,MV,2.6708,72.8944,84.36,68,93,5.77,overcast clouds
125,Mahebourg,MU,-20.4081,57.7,81.25,94,40,8.05,scattered clouds
126,Zolotukhino,RU,52.0842,36.3772,47.62,76,50,11.27,scattered clouds
127,Port Lincoln,AU,-34.7333,135.8667,70.5,61,0,9.13,clear sky
128,Chuy,UY,-33.6971,-53.4616,62.1,95,79,4.97,broken clouds
129,Norfolk,US,42.1668,-71.2495,47.75,94,100,11.5,mist
130,Port Hardy,CA,50.6996,-127.4199,48.2,93,100,0.0,overcast clouds
131,Batagay-Alyta,RU,67.8006,130.4114,17.4,70,32,1.79,scattered clouds
132,Pinega,RU,64.7001,43.3936,29.75,79,100,9.71,overcast clouds
133,Rocha,UY,-34.4833,-54.3333,58.05,95,0,3.8,clear sky
134,Oistins,BB,13.0667,-59.5333,78.89,73,40,17.27,scattered clouds
135,Norman Wells,CA,65.282,-126.8329,28.44,46,20,5.75,few clouds
136,Tobol,KZ,52.6844,62.5794,40.55,68,5,7.02,clear sky
137,Romny,UA,50.751,33.4747,45.34,75,87,8.3,overcast clouds
138,Trairi,BR,-3.2778,-39.2689,75.4,91,100,5.5,overcast clouds
139,Hilo,US,19.7297,-155.09,74.93,81,100,10.36,overcast clouds
140,Saldanha,ZA,-33.0117,17.9442,51.85,72,0,14.23,clear sky
141,Yashkul,RU,46.1711,45.3435,52.12,55,71,18.19,broken clouds
142,Kruisfontein,ZA,-34.0033,24.7314,53.89,87,88,3.58,light rain
143,Alexandria,EG,31.2156,29.9553,63.45,79,100,16.78,overcast clouds
144,Dikson,RU,73.5069,80.5464,8.98,87,100,10.71,overcast clouds
145,Muroto,JP,33.2833,134.15,62.51,60,0,6.31,clear sky
146,Port Augusta,AU,-32.5,137.7667,81.52,29,1,10.67,clear sky
147,Barrow,US,71.2906,-156.7887,3.22,78,0,6.91,clear sky
148,Ibotirama,BR,-12.1853,-43.2206,67.23,50,0,0.78,clear sky
149,Harrisonville,US,38.6533,-94.3488,37.42,87,75,8.05,broken clouds
150,Talara,PE,-4.5772,-81.2719,71.19,80,46,13.2,scattered clouds
151,Gangakher,IN,18.95,76.75,100.09,19,7,9.64,clear sky
152,Taltal,CL,-25.4,-70.4833,66.72,66,5,3.42,clear sky
153,Hudson Bay,CA,52.85,-102.3842,27.9,95,88,1.74,overcast clouds
154,Butaritari,KI,3.0707,172.7902,81.19,77,100,12.12,light rain
155,Burnie,AU,-41.0667,145.9167,62.08,63,51,11.12,broken clouds
156,Troitskoye,RU,52.9821,84.6757,39.96,80,100,5.32,light rain
157,Hay River,CA,60.8156,-115.7999,40.98,52,40,6.91,scattered clouds
